,infections C1,infections C2,infections C3,infections C4,AV total mileage,SCC C1,SCC C2,SCC C3,SCC C4,OM C1,OM C3,OM C4,deaths C1,deaths C2,deaths C3,deaths C4,VSL C1,VSL C2,VSL C3,VSL C4,externalities C1,externalities C2,externalities C3,externalities C4,OM C2,total C1,total C2,total C3,total C4
48,146,86,68,96,2022607.2299735132,316338.94800588477,632677.8960117695,361443.08923429414,466648.824126528,17048389.40668889,18868735.913665053,17048389.40668889,4.9932,2.9412000000000003,2.3256,3.2832,57921120.0,34117920.0,26976960.0,38085120.0,170558.78074799996,341117.5614959999,372819.5037453513,170558.78074799996,34096778.81337778,75456407.13544278,69188494.27088556,46579958.5066447,55770717.01156342
49,110,77,66,84,2004006.0827889969,316338.94800588477,632677.8960117695,361028.2836520794,466648.824126528,17048389.40668889,18851994.881198987,17048389.40668889,3.762,2.6334,2.2572,2.8728000000000002,43639200.0,30547440.0,26183520.0,33324480.000000004,170558.78074799996,341117.5614959999,370959.38902689965,170558.78074799996,34096778.81337778,61174487.13544278,65618014.27088555,45767502.55387797,51010077.01156343
50,118,90,72,79,2019588.4332683862,316338.94800588477,632677.8960117695,361375.7700677698,466648.824126528,17048389.40668889,18866018.996630438,17048389.40668889,4.0356000000000005,3.0780000000000003,2.4624,2.7018,46812960.00000001,35704800.0,28563840.0,31340880.0,170558.78074799996,341117.5614959999,372517.6240748386,170558.78074799996,34096778.81337778,64348247.135442786,70775374.27088556,48163752.39077304,49026477.01156342
51,114,79,69,89,2001330.2587478482,316338.94800588477,632677.8960117695,360968.6127759618,466648.824126528,17048389.40668889,18849586.639561955,17048389.40668889,3.8988,2.7018,2.3598,3.0438,45226080.0,31340880.0,27373680.0,35308080.0,170558.78074799996,341117.5614959999,370691.8066227848,170558.78074799996,34096778.81337778,62761367.13544278,66411454.27088555,46954927.0589607,52993677.01156342
52,111,75,66,79,2012535.407714275,316338.94800588477,632677.8960117695,361218.48759791313,466648.824126528,17048389.40668889,18859671.27363174,17048389.40668889,3.7962000000000002,2.565,2.2572,2.7018,44035920.0,29754000.0,26183520.0,31340880.0,170558.78074799996,341117.5614959999,371812.32151942747,170558.78074799996,34096778.81337778,61571207.13544278,64824574.27088555,45776222.082749076,49026477.01156342
53,127,87,74,86,2002312.639709515,316338.94800588477,632677.8960117695,360990.51987140696,466648.824126528,17048389.40668889,18850470.782427456,17048389.40668889,4.3434,2.9754,2.5308,2.9412000000000003,50383440.0,34514640.0,29357280.000000004,34117920.0,170558.78074799996,341117.5614959999,370790.04471895145,170558.78074799996,34096778.81337778,67918727.13544278,69585214.27088556,48939531.34701782,51803517.01156342
54,111,76,60,64,2011380.2553512247,316338.94800588477,632677.8960117695,361192.7277002171,466648.824126528,17048389.40668889,18858631.636504993,17048389.40668889,3.7962000000000002,2.5992,2.052,2.1888,44035920.0,30150720.000000004,23803200.0,25390080.0,170558.78074799996,341117.5614959999,371696.80628312245,170558.78074799996,34096778.81337778,61571207.13544278,65221294.27088555,43394721.170488335,43075677.01156342
55,146,84,68,77,2006834.5029336677,316338.94800588477,632677.8960117695,361091.35742130555,466648.824126528,17048389.40668889,18854540.45932919,17048389.40668889,4.9932,2.8728000000000002,2.3256,2.6334,57921120.0,33324480.000000004,26976960.0,30547440.0,170558.78074799996,341117.5614959999,371242.23104136676,170558.78074799996,34096778.81337778,75456407.13544278,68395054.27088556,46563834.04779186,48233037.01156342
56,146,80,62,82,1994860.1459833914,316338.94800588477,632677.8960117695,360824.3292613144,466648.824126528,17048389.40668889,18843763.538073942,17048389.40668889,4.9932,2.736,2.1204,2.8044000000000002,57921120.0,31737600.000000004,24596640.0,32531040.000000004,170558.78074799996,341117.5614959999,370044.7953463391,170558.78074799996,34096778.81337778,75456407.13544278,66808174.27088555,44171272.6626816,50216637.01156343
57,132,97,83,92,2003813.030283404,316338.94800588477,632677.8960117695,361023.97858120466,466648.824126528,17048389.40668889,18851821.133943956,17048389.40668889,4.5144,3.3174,2.8386,3.1464000000000003,52367040.0,38481840.0,32927760.0,36498240.0,170558.78074799996,341117.5614959999,370940.08377634035,170558.78074799996,34096778.81337778,69902327.13544278,73552414.27088556,52511545.196301505,54183837.01156342
